Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
35	15.8161955	2.986439	21.552023	10.281616	82.5	37.41279	174.0	8.0	1000.0	103778.0	0.09609074074074074	1.6329653	0.57659143	3.0670812	-0.44106957	8.97178	5.363058	33.52803	-0.32071474	-3.0517577e-09	-0.0006528392	8.138021e-09	0.00023754883	0.20637158	-0.045905948	26.828997	-9.915241	0	0	1.0	1.6608593	0.00081689324	1080000	4491.3644025325775
36	15.801646	3.6140063	25.62105	9.30255	84.333336	39.438843	151.0	8.0	1000.0	106308.0	0.09577297297297298	1.674726	0.60047966	3.158283	-0.32126996	8.62596	5.380299	35.10694	-2.393163	-1.2207031e-08	-0.00072004396	3.2552084e-08	-0.00082756346	0.22327209	-0.043046325	27.494207	-10.588221	0	0	1.0	1.6606843	0.00094379904	1110000	4613.04155755043
37	15.445421	3.0509994	20.618	8.410179	94.26667	43.60729	175.0	33.0	1000.0	109136.0	0.09573333333333334	1.640187	0.60878193	2.9077008	-0.3514416	9.0263815	5.92275	42.29575	-2.7458384	1.2207031e-08	-0.0016701457	3.6621095e-08	0.0006637085	0.20806587	-0.048439413	30.235586	-12.503391	0	0	1.0	1.6603878	0.0036203014	1140000	4735.200927019119
38	16.73313	2.3770256	21.526964	12.988308	78.86667	33.797173	137.0	21.0	1000.0	111502.0	0.0953008547008547	1.7162657	0.5616821	2.883424	-0.29407933	9.283173	5.196224	40.10762	-0.6929304	-4.577637e-09	-0.000527862	2.4414062e-08	0.0008396485	0.19733815	-0.046670273	29.375187	-12.697525	0	0	1.0	1.659898	0.0008896344	1170000	4857.245710611343
39	16.673347	2.6131868	21.13769	12.324961	79.433334	30.315763	129.0	0.0	1000.0	113885.0	0.09490416666666666	1.7742586	0.53400195	2.883949	-0.218945	8.481679	4.9264526	34.419884	-2.207664	-4.0690105e-09	-0.0007519735	2.1362304e-08	-0.000741508	0.16222195	-0.042810254	24.18527	-9.793587	0	0	1.0	1.6593859	0.00079232064	1200000	4979.093259334564
40	15.917676	2.4620993	19.877916	9.669432	94.566666	34.29838	157.0	17.0	1000.0	116722.0	0.09489593495934959	1.7073212	0.50459814	2.8988745	-0.35945758	8.796385	5.2458043	32.449345	-2.0300744	-3.0517577e-09	-0.0009405925	0.0	-0.00032114665	0.15016659	-0.03645116	25.949213	-10.74059	0	0	1.0	1.6588693	0.0014037885	1230000	5101.345082521439
41	15.76913	3.1190803	21.790031	8.52034	86.26667	31.92797	174.0	20.0	1000.0	119310.0	0.09469047619047619	1.6389439	0.53647375	2.7521276	-0.54777586	9.019111	5.026431	34.28851	-3.2915604	7.1207684e-09	-0.000730692	-2.4414062e-08	0.00021404216	0.17222674	-0.04282166	29.39645	-13.2649765	0	0	1.0	1.6585269	0.0010995748	1260000	5223.149908542633
42	16.43284	2.7212858	22.164642	11.359801	93.1	39.211693	201.0	32.0	1000.0	122103.0	0.09465348837209302	1.6910409	0.52042556	2.7857423	-0.37049353	9.343753	5.5864105	35.26967	-2.5089467	1.7293294e-08	-0.00078965555	-8.138021e-09	-0.0005461629	0.13062604	-0.029081456	32.221474	-14.293076	0	0	1.0	1.6580606	0.0029179214	1290000	5344.810385942459
43	17.10947	2.6139512	22.739254	11.833711	90.666664	34.262062	179.0	26.0	1000.0	124823.0	0.09456287878787879	1.7249819	0.49660817	2.924147	-0.20667548	10.006097	5.98532	37.21803	-1.6012692	9.6639e-09	-0.00097283325	4.0690105e-09	0.000546521	0.17091289	-0.04492995	28.492855	-13.968297	0	0	1.0	1.6573434	0.001430394	1320000	5466.8940262794495
44	15.718327	2.6803281	23.225695	10.6101885	78.36667	33.461903	145.0	0.0	1000.0	127174.0	0.09420296296296296	1.7769902	0.5530534	3.103987	-0.41347545	8.587491	5.19121	36.32445	-1.8728034	1.2207031e-08	-0.0015713358	2.0345052e-08	-0.00013048096	0.1948971	-0.07138022	27.542233	-14.263737	0	0	3.0	1.6568315	0.0027038346	1350000	5589.107052326202
45	16.848766	2.5970407	21.668255	11.325551	89.8	32.1739	173.0	16.0	1000.0	129868.0	0.09410724637681159	1.6818985	0.5404769	2.8530674	-0.3579199	9.058061	5.3627286	37.312088	-4.0720234	-4.0690105e-09	-0.0010014282	-4.8828124e-08	0.00010131022	0.17128105	-0.05223228	26.601305	-12.961032	0	0	1.0	1.6559	0.00053042115	1380000	5710.962315559387
46	16.753963	2.9385428	23.222126	9.831381	87.03333	32.95197	164.0	12.0	1000.0	132479.0	0.09395673758865249	1.7589713	0.53901285	2.8441164	-0.16907045	9.006674	5.074173	33.955227	-3.020786	-6.1035155e-09	-0.00034496255	-3.2552084e-08	0.00013806153	0.19024053	-0.052375242	28.142344	-14.439854	0	0	1.0	1.6554334	0.00035947334	1410000	5833.120899677277
47	16.381393	3.0239325	21.75044	9.892009	89.8	27.172781	151.0	30.0	1000.0	135173.0	0.09387013888888888	1.7285589	0.53395593	2.8010132	-0.34618473	9.328348	5.2455378	33.19943	-5.158002	9.6639e-09	-0.007867651	0.0	-0.00038213297	0.18825318	-0.050540835	26.062181	-12.779365	0	0	79.0	1.6548604	0.0051663383	1440000	5968.601248025894
48	16.409725	2.2885394	21.710081	11.578405	96.86667	29.121279	179.0	45.0	1000.0	138079.0	0.0939312925170068	1.7631333	0.53107625	3.2808483	-0.37472862	9.461902	5.3077006	32.996864	-1.0384368	6.1035155e-09	0.00019543763	-2.4414062e-08	0.00078316854	0.14571266	-0.041069835	28.513899	-13.678545	0	0	2.0	1.6263847	0.0006445056	1470000	6090.679891347885
49	17.105646	2.7301052	22.003445	11.628842	80.333336	31.604149	143.0	22.0	1000.0	140489.0	0.09365933333333333	1.7111969	0.5112533	2.910182	-0.10124164	9.396881	5.25894	36.565727	-1.8111151	-8.138021e-09	-0.00027578123	-2.0345052e-09	0.00017565714	0.1950236	-0.057159036	26.667902	-13.473964	0	0	1.0	1.6256963	0.00071766996	1500000	6212.527131795883
50	18.594896	2.3767254	22.729246	12.990058	85.13333	41.545746	176.0	12.0	1000.0	143043.0	0.0934921568627451	1.8095384	0.526989	2.9504905	-0.31299293	8.594104	5.2385974	39.24306	-1.7401699	-4.0690105e-09	-0.00032623392	-1.6276042e-08	-0.0002176351	0.18893138	-0.054773748	27.079693	-14.094246	0	0	1.0	1.6250339	0.0008284786	1530000	6334.789026260376
51	17.586447	3.0727262	23.911034	12.940404	81.8	26.389896	134.0	28.0	1000.0	145497.0	0.09326730769230769	1.8753452	0.5554441	3.0603073	-0.51231956	8.4783	5.2874103	31.897966	-3.3692405	7.1207684e-09	-0.0008627014	2.4414062e-08	-0.001070044	0.19940822	-0.046879575	27.638083	-15.294884	0	0	1.0	1.624279	0.00094937976	1560000	6457.012709617615
52	16.877064	2.200316	21.218262	13.187611	83.46667	32.671837	159.0	14.0	1000.0	148001.0	0.09308238993710692	1.8335711	0.5657262	3.307136	-0.36969116	8.215206	5.522791	34.876488	-4.695412	1.0681152e-08	-0.0003239202	-4.0690105e-09	-0.00035378823	0.16897833	-0.055224754	26.963245	-14.846095	0	0	1.0	1.6233804	0.00024896368	1590000	6579.083416223526
53	17.19199	2.7567062	22.714935	11.310799	80.86667	31.385489	137.0	22.0	1000.0	150427.0	0.09285617283950617	1.7492093	0.48843455	2.8236737	-0.27492094	8.42917	5.0841546	33.341248	-2.602283	1.4241537e-08	-0.000881425	6.713867e-08	-0.00024987388	0.17799251	-0.051698178	25.56645	-13.569963	0	0	1.0	1.6226254	0.0013517995	1620000	6700.8139407634735
54	16.453455	2.726207	21.079948	9.875176	101.6	32.97029	193.0	53.0	1000.0	153475.0	0.09301515151515151	1.7625982	0.5257955	2.953728	-0.39078033	9.020331	5.618246	37.102127	-3.7845526	-6.1035155e-09	-0.00049010315	6.306966e-08	0.0013857625	0.14686218	-0.043081045	29.106884	-16.366264	0	0	3.0	1.6218708	0.0016791403	1650000	6822.983157634735
55	18.128273	2.945081	22.862099	12.416689	86.4	33.169865	165.0	30.0	1000.0	156067.0	0.0928970238095238	1.7518202	0.4832662	2.990583	-0.4515031	9.849664	5.170525	40.773254	-1.9219074	-2.2379558e-08	-0.00092725223	1.8310548e-08	0.0011192505	0.18987527	-0.05641286	25.042742	-14.4518385	0	0	1.0	1.6196616	0.0026392385	1680000	6945.072052955627
56	18.255152	3.1398892	24.43776	12.180085	90.566666	30.056263	177.0	51.0	1000.0	158784.0	0.09285614035087719	1.8842691	0.5157835	3.5074158	-0.23547861	9.398829	5.0818453	31.994564	-1.2631636	9.155274e-09	-0.00036528843	-3.6621095e-08	-4.2732747e-05	0.1622644	-0.035543293	25.965395	-13.553028	0	0	1.0	1.618398	0.00024143349	1710000	7067.18741774559
57	17.691038	3.1800911	24.307854	11.988006	78.333336	33.45378	150.0	15.0	1000.0	161134.0	0.09260574712643678	1.858493	0.5402739	3.4245234	-0.4356016	8.159508	5.36735	33.894073	-4.5796113	-8.138021e-09	-0.0009584381	-1.2207031e-08	0.0010616293	0.16658181	-0.03769301	24.364496	-13.333803	0	0	1.0	1.6172597	0.0018899712	1740000	7189.616071939468
58	16.594809	2.868923	23.444971	11.802363	81.9	31.575676	143.0	22.0	1000.0	163591.0	0.09242429378531074	1.8012149	0.56904685	3.0533495	-0.3879986	8.330541	5.3438363	30.632256	-3.0998797	-2.0345052e-09	-0.0006219747	0.0	-0.00078048505	0.17942236	-0.047396213	24.131418	-13.378637	0	0	1.0	1.6161402	0.0016530207	1770000	7311.43447804451
59	16.918911	2.7990305	23.904842	10.943615	84.4	33.64481	164.0	28.0	1000.0	166123.0	0.09229055555555556	1.7914635	0.53842545	3.3478546	-0.3737266	8.770115	5.368841	35.096905	-2.728367	-1.0172526e-09	-0.008043509	1.0579427e-07	-0.0027310546	0.18713118	-0.048467144	25.616175	-14.419581	0	0	79.0	1.6151268	0.005462358	1800000	7446.769245624542
60	18.573275	2.8995068	23.200819	10.885072	91.96667	30.829082	161.0	26.0	1000.0	168882.0	0.09228524590163935	1.8448108	0.52782845	2.9972677	-0.5576438	9.247347	5.198176	32.93129	-2.2683613	4.0690105e-09	-0.00804143	1.2207031e-08	-0.0022350503	0.19076069	-0.06259285	31.742046	-17.906458	0	0	79.0	1.5792761	0.00552777	1830000	7582.6034252643585
61	16.309546	3.5672746	22.816872	9.444854	90.833336	33.53017	149.0	19.0	1000.0	171607.0	0.09226182795698924	1.8523273	0.5557008	3.9184062	0.0041837185	9.156795	5.5262055	35.01179	-2.1878111	-1.4368693e-08	0.0027851835	4.8828124e-08	-0.004279606	0.22772673	-0.08093403	26.635468	-15.111105	0	0	4.0	1.5533172	0.011031141	1860000	7704.998858451843
62	17.35737	2.8881972	23.576204	12.8994465	87.26667	32.049892	152.0	23.0	1000.0	174225.0	0.09218253968253969	1.8039589	0.5655946	3.2133985	-0.72898656	9.450344	5.255014	35.288296	-1.4072139	7.1207684e-09	-0.0005429728	0.0	-0.0010298991	0.17696562	-0.053444415	25.883331	-14.300626	0	0	1.0	1.5516431	0.0022672066	1890000	7827.068561077118
63	17.735514	2.2886243	22.135674	12.46963	89.1	33.134422	174.0	16.0	1000.0	176898.0	0.092134375	1.8606733	0.49109703	2.8958933	-0.34051737	9.628147	5.3358107	34.60452	-3.4864147	6.1035155e-09	-0.0005148885	1.2207031e-08	0.0031563235	0.12634954	-0.029536724	25.224905	-13.948855	0	0	1.0	1.5506561	0.0020217004	1920000	7948.818330287933
64	18.095978	2.8036995	24.20054	12.098502	88.2	41.119663	161.0	18.0	1000.0	179544.0	0.09207384615384616	1.8558062	0.49459818	2.8930538	-0.33406824	8.761697	5.405585	31.884901	-3.5771296	-1.6276042e-08	-0.00065983273	4.2724608e-08	-9.2858885e-05	0.16334598	-0.05465875	28.154339	-16.73405	0	0	1.0	1.5496062	0.0019592075	1950000	8070.697331666946
65	17.565033	2.2455058	24.420067	14.526638	83.23333	33.2342	181.0	20.0	1000.0	182041.0	0.09193989898989899	1.9012278	0.5284314	3.2260385	-0.4672285	8.849703	5.4337163	33.537693	-6.643387	-1.6276042e-08	-0.0010981598	-3.5603842e-09	0.0001340271	0.15643762	-0.049399883	26.069633	-15.2578	0	0	1.0	1.548547	0.0020670746	1980000	8192.645150184631
